Date,Observer,Location,Point,newspotnames,index,cmc_comments,answers,whattodowiththisrecord,Start.Time..24h.,Latitude,Longitude,Cloud,Wind,Notes,Species.before,Species.After
4/20/2014,Crystina,Caddo Co Center Pivots,2,CADDPC02,5,,,KEEP,7:58,35.31725,-98.48264,100,0 to 5,Sprinkling,,SCFL
4/20/2014,Crystina,Caddo Co Center Pivots,6,CADDPC06,6,,,KEEP,8:28,35.34692,-98.48264,100,0 to 5,,,"HOLA, LASP, VESP"
4/20/2014,Crystina,Caddo Co Center Pivots,10,CADDPC10,7,,,KEEP,8:53,35.374,-98.46503,100,0 to 5,,,"WCSP, SAVS"
4/20/2014,Crystina,Caddo Co Center Pivots,14,CADDPC13,8,,,KEEP,9:17,35.40249,-98.46512,100,0 to 5,,,SAVS
4/20/2014,Crystina,Caddo Co Center Pivots,18,CADDPC17,9,,,KEEP,9:42,35.42069,-98.44909,100,0 to 5,,,BARS
4/20/2014,Crystina,Caddo Co Center Pivots,22,CADDPC21,10,,,KEEP,10:10,35.45182,-98.39453,100,0 to 5,,,"LASP, BHCO, KILL, AMCR"
4/20/2014,Crystina,Caddo Co Center Pivots,26,CADDPC25,11,,,KEEP,10:33,35.47147,-98.37492,100,10 to 15,,,
4/25/2014,Crystina,Rita Blanca NG,12,RBNG-PC14,25,,,KEEP,12:15,36.5307,-102.73385,60,0 to 5,,,
4/25/2014,Crystina,Rita Blanca NG,16,RBNG-PC18,26,,,KEEP,12:42,36.53065,-102.77064,60,0 to 5,,,"LASP, HOLA"
4/25/2014,Crystina,Rita Blanca NG,22,RBNG-PC25,27,,,KEEP,13:31,36.53054,-102.91555,60,0 to 5,,,
4/18/2014,Crystina,Sod Farms,2,SOFAPC2,1,,,KEEP,7:28,35.14598,-97.45654,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,5,SOFAPC5,2,,,KEEP,7:46,35.13291,-97.44185,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,8,SOFA PC8,3,,,KEEP,8:13,35.13149,-97.41592,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,11,SOFAPC11,4,,,KEEP,8:58,35.11047,-97.42411,0,0 to 5,,,
4/23/2014,Crystina,Tallgrass Prairie,23,TGPP-PC23,17,,,KEEP,8:28,36.76789,-96.38971,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,24,TGPP-PC24,16,,,KEEP,8:14,36.76161,-96.38493,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,25,TGPP-PC25,15,,,KEEP,8:00,36.75508,-96.38123,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,26,TGPP-PC26,14,,,KEEP,7:48,36.75252,-96.37285,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,27,TGPP-PC27,13,,,KEEP,7:34,36.75253,-96.36387,30,5 to 10,"wind started to pick up, some traffic on this road",,sparrow sp.
4/23/2014,Crystina,Tallgrass Prairie,28,TGPP-PC28,12,,,KEEP,7:19,36.75253,-96.35488,30,0 to 5,,,
4/23/2014,Crystina,Tallgrass Prairie,29,TGPP-PC29,18,"CHECK, does not exist in map",confirmed,KEEP,8:43,36.77458,-96.39303,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,30,TGPP-PC30,19,"CHECK, does not exist in map",confirmed,KEEP,8:56,36.78169,-96.3946,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,31,TGPP-PC31,20,"CHECK, does not exist in map",confirmed,KEEP,9:16,36.78801,-96.40009,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,32,TGPP-PC32,21,"CHECK, does not exist in map",confirmed,KEEP,9:35,36.79193,-96.40765,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,33,TGPP-PC33,22,"CHECK, does not exist in map",confirmed,KEEP,9:48,36.79782,-96.41283,30,15 to 20,,,
4/23/2014,Crystina,Tallgrass Prairie,34,TGPP-PC34,23,"CHECK, does not exist in map",confirmed,KEEP,10:01,36.80275,-96.4194,10,15 to 20,,,
4/23/2014,Crystina,Tallgrass Prairie,35,TGPP-PC35,24,"CHECK, does not exist in map",confirmed,KEEP,10:17,36.80453,-96.42822,10,15 to 20,,UPSA,
6/8/2014,Crystina,WMWR,0,WXRD-PC01,51,,,KEEP,10:21,34.6963,-98.77353,100,10 to 15,"WXRD, drizzling and gusty",,NOMO
6/12/2014,Crystina,WMWR,1,WMWR-PC01,55,,,KEEP,6:56,34.74809,-98.75363,0,0 to 5,,,AMRO
5/5/2014,Crystina,WMWR,1,WMWR-PC01,28,,,KEEP,7:36,34.74809,-98.75363,0,15 to 20,WMWR-PC01,,
6/8/2014,Crystina,WMWR,1,W49H-PC02,53,,,KEEP,11:33,34.73971,-98.79802,80,10 to 15,"W49H, gusty",,"GRSP fledglings, CASP"
6/12/2014,Crystina,WMWR,2,WMWR-PC02,56,,,KEEP,7:13,34.74478,-98.74531,0,0 to 5,,,"NOMO, AMRO"
5/5/2014,Crystina,WMWR,2,WMWR-PC02,29,,,KEEP,7:48,34.74478,-98.74531,0,15 to 20,WMWR-P1,,
6/12/2014,Crystina,WMWR,3,WMWR-PC03,57,,,KEEP,7:28,34.74312,-98.73738,0,0 to 5,,,MODO
5/5/2014,Crystina,WMWR,3,WMWR-PC03,30,,,KEEP,8:03,34.74312,-98.73738,0,15 to 20,WMWR-P2,,
6/12/2014,Crystina,WMWR,4,WMWR-PC04,58,,,KEEP,7:42,34.7407,-98.72861,0,0 to 5,,,WITU
5/5/2014,Crystina,WMWR,4,WMWR-PC04,31,,,KEEP,8:16,34.7407,-98.72861,0,5 to 10,WMWR-P3,,
6/8/2014,Crystina,WMWR,4,WXRD-PC05,52,,,KEEP,10:44,34.69608,-98.80876,100,10 to 15,"WXRD, drizzling and gusty",,"PABU, AMCRO, AMRO, TUVU"
6/12/2014,Crystina,WMWR,5,WMWR-PC05,59,,,KEEP,7:56,34.73652,-98.72145,0,0 to 5,,,
5/5/2014,Crystina,WMWR,5,WMWR-PC05,32,,,KEEP,8:30,34.73652,-98.72145,0,10 to 15,"WMWR-P4, gusty",,EAME
6/8/2014,Crystina,WMWR,5,W49H-PC06,54,,,KEEP,11:57,34.73977,-98.83279,80,10 to 15,W49H,,
6/12/2014,Crystina,WMWR,6,WMWR-PC06,60,,,KEEP,8:10,34.73635,-98.71053,0,0 to 5,,,"YBCU, RBWO"
5/5/2014,Crystina,WMWR,6,WMWR-PC06,33,,,KEEP,8:49,34.73635,-98.71053,0,10 to 15,WMWR-P5,,
6/12/2014,Crystina,WMWR,7,WMWR-PC07,61,,,KEEP,8:25,34.73482,-98.70202,0,0 to 5,,,
5/5/2014,Crystina,WMWR,7,WMWR-PC07,34,,,KEEP,9:02,34.73482,-98.70202,0,10 to 15,WMWR-P6,,"sparrow sp., MODO"
6/12/2014,Crystina,WMWR,8,WMWR-PC08,62,,,KEEP,8:38,34.73247,-98.69395,0,0 to 5,,,EAME
5/5/2014,Crystina,WMWR,8,WMWR-PC08,35,,,KEEP,9:17,34.73247,-98.69395,0,10 to 15,WMWR-P7,"EAME, LASP, NOBO, STFL, DICK",
6/12/2014,Crystina,WMWR,9,WMWR-PC09,63,,,KEEP,9:04,34.72931,-98.68587,0,0 to 5,,,
5/5/2014,Crystina,WMWR,9,WMWR-PC09,36,,,KEEP,9:51,34.72931,-98.68587,0,10 to 15,"WMWR-P8, gusty",,
6/12/2014,Crystina,WMWR,10,WMWR-PC10,64,,,KEEP,9:18,34.72529,-98.67892,0,5 to 10,,,
5/5/2014,Crystina,WMWR,10,WMWR-PC10,37,,,KEEP,10:03,34.72529,-98.67892,0,10 to 15,"WMWR-PC1, gusty",,
6/12/2014,Crystina,WMWR,11,WMWR-PC11,65,,,KEEP,9:28,34.72327,-98.6701,0,5 to 10,gusty,,
5/5/2014,Crystina,WMWR,11,WMWR-PC11,38,,,KEEP,10:16,34.72327,-98.6701,0,15 to 20,"WMWR-P9, gusty, briefly interrupted by line of traffic",,
6/13/2014,Crystina,WMWR,12,WMWR-PC12,78,,,KEEP,9:03,34.72072,-98.66229,100,5 to 10,,,"LASP, STFL, titmouse sp."
5/5/2014,Crystina,WMWR,12,WMWR-PC12,39,,,KEEP,10:45,34.72072,-98.66229,0,15 to 20,"WMWR-10, interrupted by USFW employee telling me I can't park on the grass",,
6/12/2014,Crystina,WMWR,13,WMWR-PC13,66,,,KEEP,9:51,34.71828,-98.65209,0,5 to 10,,,
5/5/2014,Crystina,WMWR,13,WMWR-PC13,40,,,KEEP,10:57,34.71828,-98.65209,0,15 to 20,"WMWR-11, getting hard to hear over wind, last point of day",,
5/6/2014,Crystina,WMWR,14,WMWR-PC14,41,,,KEEP,9:44,34.71561,-98.63075,10,5 to 10,WMWR-12,,SWHA
6/12/2014,Crystina,WMWR,14,WMWR-PC14,67,,,KEEP,10:16,34.71561,-98.63075,0,10 to 15,,,
5/6/2014,Crystina,WMWR,15,WMWR-PC15,42,,,KEEP,9:59,34.70864,-98.62858,10,5 to 10,WMWR-13,,
6/12/2014,Crystina,WMWR,15,WMWR-PC15,68,,,KEEP,10:30,34.70864,-98.62858,0,10 to 15,"gusty, lots of traffic",,
5/6/2014,Crystina,WMWR,16,WMWR-PC16,43,,,KEEP,10:17,34.70144,-98.62808,10,5 to 10,"WMWR-14, gusty",,
6/12/2014,Crystina,WMWR,16,WMWR-PC16,69,,,KEEP,10:43,34.70144,-98.62808,0,10 to 15,"gusty, lots of traffic",,
5/6/2014,Crystina,WMWR,17,WMWR-PC17,44,,,KEEP,10:30,34.70948,-98.6196,10,5 to 10,"WMWR-15, gusty, lots of traffic",,
6/12/2014,Crystina,WMWR,17,WMWR-PC17,70,,,KEEP,11:04,34.70948,-98.6196,0,15 to 20,gusty,,
6/13/2014,Crystina,WMWR,18,WMWR-PC18,71,,,KEEP,6:47,34.71222,-98.61198,0,0 to 5,,,
5/6/2014,Crystina,WMWR,18,WMWR-PC18,45,,,KEEP,10:45,34.71222,-98.61198,10,5 to 10,WMWR-16,,
6/13/2014,Crystina,WMWR,19,WMWR-PC19,72,,,KEEP,6:59,34.71766,-98.60402,0,0 to 5,,,
5/6/2014,Crystina,WMWR,19,WMWR-PC19,46,,,KEEP,10:58,34.71766,-98.60402,10,5 to 10,WMWR-17,,
6/13/2014,Crystina,WMWR,20,WMWR-PC20,73,,,KEEP,7:16,34.72621,-98.5958,0,0 to 5,,,
5/7/2014,Crystina,WMWR,20,WMWR-PC21,47,,,KEEP,10:09,34.73139,-98.59035,0,10 to 15,WMWR-18,,
6/13/2014,Crystina,WMWR,21,WMWR-PC21,74,,,KEEP,7:31,34.73139,-98.59035,30,5 to 10,lots of traffic,,
5/7/2014,Crystina,WMWR,21,WMWR-PC22,48,,,KEEP,10:36,34.73543,-98.58324,0,10 to 15,WMWR-19,,
6/13/2014,Crystina,WMWR,22,WMWR-PC22,75,,,KEEP,7:49,34.73543,-98.58324,70,5 to 10,,MODO,
5/7/2014,Crystina,WMWR,22,WMWR-PC23,49,,,KEEP,10:48,34.73294,-98.57471,0,15 to 20,WMWR-20,,
6/13/2014,Crystina,WMWR,23,WMWR-PC23,76,,,KEEP,8:04,34.73294,-98.57471,70,5 to 10,lots of traffic,,
5/7/2014,Crystina,WMWR,23,WMWR-PC24,50,,,KEEP,11:00,34.73294,-98.56629,0,15 to 20,"WMWR-21, interrupted by people pulling up and leaving car on",,
6/13/2014,Crystina,WMWR,24,WMWR-PC24,77,,,KEEP,8:16,34.73294,-98.56629,70,5 to 10,,,
7/3/2013,ESB,Cross Timbers,CTPC1,XTIM-PC01,400,,,KEEP,8:44,33.94038,-97.35237,0,0-5 NE,Corner of Crosstimbers,,
7/3/2013,ESB,Cross Timbers,CTPC2,XTIM-PC02,401,,,KEEP,8:58,33.94038,-97.36255,0,0-5 NE,,,
7/3/2013,ESB,Cross Timbers,CTPC3,XTIM-PC03,402,,,KEEP,9:11,33.9404,-97.37071,0,0-5 NE,"9:11 not given on datasheet, so must have been inferred afterwards (CMC 09/26/2016)",,
7/3/2013,ESB,Cross Timbers,CTPC4,XTIM-PC04,403,,,KEEP,9:24,33.94041,-97.37888,0,0-5 NE,,,
7/3/2013,ESB,Cross Timbers,CTPC5,XTIM-PC05,404,,,KEEP,9:37,33.94037,-97.38678,0,0-5 NE,,,
7/3/2013,ESB,Cross Timbers,CTPC6,XTIM-PC06,405,,,KEEP,9:50,33.94042,-97.39648,0,0-5 NE,,,
7/3/2013,ESB,Cross Timbers,CTPC7,XTIM-PC07,406,,,KEEP,10:03,33.94041,-97.40502,0,0-5 NE,,,
7/3/2013,ESB,Cross Timbers,CTPC8,XTIM-PC08,407,,,KEEP,10:15,33.94042,-97.41322,0,0-5 NE,,,
6/4/2013,ESB,Drummond Flats WMA,DRMD-PC4,DRMD-PC04,1additional,,,KEEP,12:37,36.31837,-97.98165,15.00%,10-15 N,Pastureland,,
7/3/2013,ESB,Red River Ranch,RRPC1,REDR-PC05,444,,,KEEP,6:23,33.88669,-97.29127,0,0-5,,,
7/3/2013,ESB,Red River Ranch,RRPC2,REDR-PC03,445,,,KEEP,6:44,33.89442,-97.29126,0,0-5,,,
7/3/2013,ESB,Red River Ranch,RRPC3,REDR-PC02,446,,,KEEP,7:01,33.8968,-97.28696,0,0-5,,,
7/3/2013,ESB,Red River Ranch,RRPC4,REDR-PC01,447,"south of red river.  Some other point numbers off, unsure of which one.",Likely a typo,KEEP,7:22,33.89675,-97.27823,0,0-5,,,
7/3/2013,ESB,Red River Ranch,RRPC5,REDR-PC06,448,,,KEEP,7:45,33.88227,-97.28318,0,0-5,,,
7/3/2013,ESB,Red River Ranch,RRPC6,REDR-PC07,449,,,KEEP,7:58,33.88247,-97.27055,0,0-5,,,
6/4/2013,JBT,Drummond Flats WMA,DRMD-PC2,DRMD-PC02,409,,,KEEP,12:05,36.31839,-97.9994,15.00%,10-15 N,Pastureland,,
7/1/2013,JBT,Drummond Flats WMA,DRMD-PC5,DRMD-PC05,411,,,KEEP,10:17,36.27275,-98.01508,0.00%,15-20 SW,,,
7/1/2013,JBT,Drummond Flats WMA,DRMD-PC6,DRMD-PC06,412,,,KEEP,10:29,36.26509,-98.01505,0.00%,15-20 SW,,,
7/1/2013,JBT,Drummond Flats WMA,DRMD-PC7,DRMD-PC07,413,,,KEEP,10:42,36.25321,-98.01503,0.00%,15-20 SW,,,
7/1/2013,JBT,Drummond Flats WMA,DRMD-PC8,DRMD-PC08,414,,,KEEP,10:55,36.24595,-98.01872,0.00%,15-20 SW,all wheat (cut),,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC1,OSWT-PC01,426,,,KEEP,6:32,33.98397,-97.18781,10.00%,0,,,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC2,OSWT-PC02,427,,,KEEP,6:45,33.98396,-97.19647,10.00%,0,,,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC3,OSWT-PC03,428,,,KEEP,7:00,33.984,-97.20515,15.00%,0-5 SW,,,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC4,OSWT-PC04,429,,,KEEP,7:12,33.98399,-97.21384,5.00%,0-5 SW,,,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC5,OSWT-PC05,430,,,KEEP,7:25,33.98401,-97.22255,10.00%,0-5 SW,,,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC6,OSWT-PC06,431,,,KEEP,7:37,33.98405,-97.23237,10.00%,5-10 SW,,,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC7,OSWT-PC07,432,,,KEEP,7:49,33.98404,-97.24145,5.00%,0-5 SW,,,
7/4/2013,JBT,Noble Foundation - Oswalt Ranch,OSWT-PC8,OSWT-PC08,433,,,KEEP,8:02,33.984,-97.25334,10.00%,0-5 SW,,,
6/27/2013,JBT,NW of WMWR,WWMT-PC1,WWMT-PC01,436,,,KEEP,8:39,34.79827,-98.82607,10.00%,15-20 SSE,,,
6/27/2013,JBT,NW of WMWR,WWMT-PC3,WWMT-PC03,437,,,KEEP,8:58,34.81643,-98.8261,10.00%,10-15 SE,,,
6/27/2013,JBT,NW of WMWR,WWMT-PC5,WWMT-PC05,438,,,KEEP,9:21,34.82932,-98.82609,10.00%,15-22 SE,,,
6/12/2013,JBT,Pennsylvania Ave (nr. KAEFS),PENN-PC2,PENNPC02,439,,,KEEP,9:26,34.9363,-97.54742,5.00%,10-15 N,,,
6/12/2013,JBT,Pennsylvania Ave (nr. KAEFS),PENN-PC4,PENNPC04,440,,,KEEP,9:44,34.95073,-97.54742,2.00%,15-20 N,,,
6/12/2013,JBT,Pennsylvania Ave (nr. KAEFS),PENN-PC6,PENNPC06,441,,,KEEP,10:03,34.96521,-97.54739,2.00%,15-20 N,,,
6/11/2013,JBT,Sandy Sanders WMA,SAND-PC4,SAND-PC04,454,,,KEEP,6:55,35.01651,-99.72419,,,,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC12,TGPP-PC12,458,,,KEEP,7:59,36.85935,-96.42129,5.00%,15-20 S,PC46,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC12,TGPP-PC12,457,,,KEEP,9:26,36.8572,-96.42198,0,0,,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC13,TGPP-PC13,460,,,KEEP,7:46,36.86654,-96.42039,5.00%,15-20 S,PC45,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC13,TGPP-PC13,459,,,KEEP,9:43,36.86561,-96.42017,0,0,,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC14,TGPP-PC14,462,,,KEEP,7:33,36.87375,-96.42151,5.00%,15-20 S,PC44,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC14,TGPP-PC14,461,,,KEEP,9:57,36.87521,-96.42152,0,0,,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC15,TGPP-PC15,464,,,KEEP,7:21,36.88087,-96.42262,5.00%,10-15 S,PC43,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC15,TGPP-PC15,463,,,KEEP,10:10,36.88254,-96.42317,0,0,,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC16,TGPP-PC16,465,,,KEEP,7:08,36.88745,-96.42672,10.00%,10-15 S,PC42,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC17,TGPP-PC17,466,,,KEEP,6:54,36.89481,-96.4289,20.00%,15-20 S,PC41,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC18,TGPPPC18,467,,,KEEP,6:40,36.90198,-96.42853,20.00%,5-15 S,PC40,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC19,TGPP-PC19,468,,,KEEP,8:27,36.83996,-96.40224,2.00%,5-10 S,PC47,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC20,TGPP-PC20,469,,,KEEP,8:40,36.83664,-96.39414,2.00%,15-20 S,PC48,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC21,TGPP-PC21,470,,,KEEP,8:52,36.83352,-96.38564,2.00%,15-20 S,PC49,,
7/9/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC22,TGPP-PC22,471,"way off, but other numbers in series okay, so assume TGPP-PC22",Likely a typo,KEEP,9:08,36.83027,-96.37762,2.00%,15-20 S,PC50,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC23,TGPP-PC23,472,"point way off, out by great salt plains in western OK.  Rest are numbered correctly, assume correct?",Typo in long (98 rather than 96),KEEP,6:35,36.76787,-96.38972,0,0,,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC24,TGPP-PC24,473,,,KEEP,6:49,36.76133,-96.38479,0,0,,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC25,TGPP-PC25,474,,,KEEP,7:05,36.75458,-96.38073,0,0,,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC26,TGPP-PC26,475,,,KEEP,7:19,36.75252,-96.37177,0,0,,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC27,TGPP-PC27,476,,,KEEP,7:34,36.75254,-96.36268,0,0,,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC28,TGPP-PC28,477,,,KEEP,7:58,36.75251,-96.35487,0,0,,,
6/7/2013,JBT,Tallgrass Prairie Preserve,TGPP-PC4,TGPP-PC04,478,,,KEEP,8:42,36.8385,-96.48094,0,0,,,
7/2/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC1,GRLBPC01,480,,,KEEP,7:51,35.54413,-98.04539,0,5-10 SW,,,
6/10/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC1,GRLBPC01,479,,,KEEP,8:41,35.54413,-98.04539,0.00%,15-20,,,
7/2/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC13,GRLBPC13,481,,,KEEP,9:28,35.54034,-98.0788,0,10-15 SW,,,
7/2/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC14,GRLBPC14,482,,,KEEP,9:41,35.54753,-98.07884,0,15-20 SW,,,
7/2/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC2,GRLBPC02,483,,,KEEP,8:06,35.55114,-98.04336,0,0-5 SW,,,
7/2/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC4,GRLBPC04,484,,,KEEP,8:20,35.55827,-98.04158,0,0-5 SW,,,
7/2/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC5,GRLBPC05,486,,,KEEP,8:46,35.54124,-97.99925,0,0-5 SW,,,
6/10/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC5,GRLBPC05,485,,,KEEP,9:18,35.54124,-97.99925,0.00%,15-20,,,
7/2/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC6,GRLBPC06,487,,,KEEP,9:03,35.54454,-98.00707,0,0-5 SW,,,
6/10/2013,JBT,USDA - Grazinglands Res Lab,GRLB-PC9,GRLBPC09,488,,,KEEP,10:02,35.53791,-98.06109,0.00%,15-20,,,
5/15/2014,JDR,Black Kettle NG,3,BKNGPC14,99,,"Date corrected; double-observer (w/ Kristen, keep JDR¡¯s)",KEEP,9:46,35.59581,-99.65971,20,5 to 10,,WEKI,AMCR
5/15/2014,JDR,Black Kettle NG,5,BKNGPC15,100,,Date corrected,KEEP,10:21,35.60999,-99.57595,20,5 to 10,,,
5/15/2014,JDR,Black Kettle NG,7,BKNGPC08,98,,Date corrected; double-observer (but no data from Kristen),KEEP,9:19,35.60265,-99.64536,20,5 to 10,,,
5/15/2014,JDR,Black Kettle NG,10,BKNGPC13,101,,Date corrected,KEEP,10:55,35.61504,-99.71311,20,5 to 10,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC12,BKNGPC12,9additional,,,KEEP,16:18,35.60992,-99.58542,,,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC3,BKNG-PC03,6additional,,,KEEP,10:54,35.7773,-99.85403,,,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC4,BKNGPC04,7additional,,,KEEP,14:55,35.61734,-99.70589,75,10-15 S,,,
6/7/2013,JDR,Black Kettle NG,BKNG-PC9,BKNGPC09,8additional,,,KEEP,15:43,35.59875,-99.65285,,,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC1,BLKM-PC01,2additional,,,KEEP,10:59,36.8024,-102.87727,,,,,
6/6/2013,JDR,Black Mesa SP,BLKM-PC6,BLKM-PC06,3additional,,,KEEP,11:19,36.83884,-102.87701,,,,,
4/20/2014,JDR,Caddo Co Center Pivots,4,CADDPC04,87,,,KEEP,8:05,35.33178,-98.48265,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,8,CADDPC08,88,,,KEEP,8:35,35.35434,-98.46507,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,12,CADDPC12,89,,,KEEP,8:58,35.38858,-98.46501,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,16,CADDPC15,90,,,KEEP,9:21,35.41698,-98.4651,100,5 to 10,,,"EUST, YHBL"
4/20/2014,JDR,Caddo Co Center Pivots,20,CADDPC19,91,,,KEEP,9:47,35.42075,-98.43074,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,24,CADDPC23,92,,,KEEP,10:13,35.46935,-98.39458,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,28,CADDPC27,93,,,KEEP,10:38,35.47881,-98.38714,100,5 to 10,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC1,ELIS-PC01,4additional,,,KEEP,6:35,36.0997,-99.91707,,,,,
6/7/2013,JDR,Ellis Co. WMA,ELIS-PC6,ELIS-PC06,5additional,,,KEEP,7:25,36.05701,-99.89209,,,,,
4/17/2014,JDR,Grady Co WMA,1,GRCO-PC1,79,,,KEEP,10:22,34.7978,-97.84636,100,0 to 5,,,RTHA
4/17/2014,JDR,Grady Co WMA,2,GRCO-PC2,80,,,KEEP,10:39,34.79771,-97.83633,100,0 to 5,,,
4/17/2014,JDR,Grady Co WMA,3,GRCO-PC3,81,,,KEEP,10:54,34.79776,-97.8252,100,0 to 5,,,
4/17/2014,JDR,Grady Co WMA,4,GRCO-PC4,82,,,KEEP,11:18,34.80295,-97.84902,90,5 to 10,,CCSP,
6/10/2013,JDR,Grazingland Res Lab,GRLB-PC12,GRLBPC12,12additional,,,KEEP,10:03,35.55129,-98.06737,0,15-20S,,,
6/10/2013,JDR,Grazingland Res Lab,GRLB-PC4,GRLBPC04,10additional,,,KEEP,8:45,35.56046,-98.04102,0,10-15S,,,
6/10/2013,JDR,Grazingland Res Lab,GRLB-PC8,GRLBPC08,11additional,,,KEEP,9:23,35.54983,-98.01549,0,10-15S,,,
