Date,Observer,Location,Point,StandardizedLocationName,LocalSurveyName,Start Time (24h),Latitude,Longitude,Cloud,Wind,Notes,Species before,Species After
4/18/2014,Crystina,Sod Farms,2,SOFA,SOFAPC2,7:28,35.14598,-97.45654,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,5,SOFA,SOFAPC5,7:46,35.13291,-97.44185,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,8,SOFA,SOFAPC8,8:13,35.13149,-97.41592,0,0 to 5,,,
4/18/2014,Crystina,Sod Farms,11,SOFA,SOFAPC11,8:58,35.11047,-97.42411,0,0 to 5,,,
4/20/2014,Crystina,Caddo Co Center Pivots,2,CADD,CADDPC02,7:58,35.31725,-98.48264,100,0 to 5,Sprinkling,,SCFL
4/20/2014,Crystina,Caddo Co Center Pivots,6,CADD,CADDPC06,8:28,35.34692,-98.48264,100,0 to 5,,,"HOLA, LASP, VESP"
4/20/2014,Crystina,Caddo Co Center Pivots,10,CADD,CADDPC10,8:53,35.374,-98.46503,100,0 to 5,,,"WCSP, SAVS"
4/20/2014,Crystina,Caddo Co Center Pivots,14,CADD,CADDPC14,9:17,35.40249,-98.46512,100,0 to 5,,,SAVS
4/20/2014,Crystina,Caddo Co Center Pivots,18,CADD,CADDPC18,9:42,35.42069,-98.44909,100,0 to 5,,,BARS
4/20/2014,Crystina,Caddo Co Center Pivots,22,CADD,CADDPC22,10:10,35.45182,-98.39453,100,0 to 5,,,"LASP, BHCO, KILL, AMCR"
4/20/2014,Crystina,Caddo Co Center Pivots,26,CADD,CADDPC26,10:33,35.47147,-98.37492,100,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,28,TGPP,TGPP-PC28,7:19,36.75253,-96.35488,30,0 to 5,,,
4/23/2014,Crystina,Tallgrass Prairie,27,TGPP,TGPP-PC27,7:34,36.75253,-96.36387,30,5 to 10,"wind started to pick up, some traffic on this road",,sparrow sp.
4/23/2014,Crystina,Tallgrass Prairie,26,TGPP,TGPP-PC26,7:48,36.75252,-96.37285,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,25,TGPP,TGPP-PC25,8:00,36.75508,-96.38123,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,24,TGPP,TGPP-PC24,8:14,36.76161,-96.38493,30,5 to 10,,,
4/23/2014,Crystina,Tallgrass Prairie,23,TGPP,TGPP-PC23,8:28,36.76789,-96.38971,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,29,TGPP,,8:43,36.77458,-96.39303,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,30,TGPP,,8:56,36.78169,-96.3946,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,31,TGPP,,9:16,36.78801,-96.40009,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,32,TGPP,,9:35,36.79193,-96.40765,30,10 to 15,,,
4/23/2014,Crystina,Tallgrass Prairie,33,TGPP,,9:48,36.79782,-96.41283,30,15 to 20,,,
4/23/2014,Crystina,Tallgrass Prairie,34,TGPP,,10:01,36.80275,-96.4194,10,15 to 20,,,
4/23/2014,Crystina,Tallgrass Prairie,35,TGPP,,10:17,36.80453,-96.42822,10,15 to 20,,UPSA,
4/25/2014,Crystina,Rita Blanca NG,12,,,12:15,36.5307,-102.73385,60,0 to 5,,,
4/25/2014,Crystina,Rita Blanca NG,16,,,12:42,36.53065,-102.77064,60,0 to 5,,,"LASP, HOLA"
4/25/2014,Crystina,Rita Blanca NG,22,,,13:31,36.53054,-102.91555,60,0 to 5,,,
5/5/2014,Crystina,WMWR,1,,,7:36,34.74809,-98.75363,0,15 to 20,WMWR-PC01,,
5/5/2014,Crystina,WMWR,2,,,7:48,34.74478,-98.74531,0,15 to 20,WMWR-P1,,
5/5/2014,Crystina,WMWR,3,,,8:03,34.74312,-98.73738,0,15 to 20,WMWR-P2,,
5/5/2014,Crystina,WMWR,4,,,8:16,34.7407,-98.72861,0,5 to 10,WMWR-P3,,
5/5/2014,Crystina,WMWR,5,,,8:30,34.73652,-98.72145,0,10 to 15,"WMWR-P4, gusty",,EAME
5/5/2014,Crystina,WMWR,6,,,8:49,34.73635,-98.71053,0,10 to 15,WMWR-P5,,
5/5/2014,Crystina,WMWR,7,,,9:02,34.73482,-98.70202,0,10 to 15,WMWR-P6,,"sparrow sp., MODO"
5/5/2014,Crystina,WMWR,8,,,9:17,34.73247,-98.69395,0,10 to 15,WMWR-P7,"EAME, LASP, NOBO, STFL, DICK",
5/5/2014,Crystina,WMWR,9,,,9:51,34.72931,-98.68587,0,10 to 15,"WMWR-P8, gusty",,
5/5/2014,Crystina,WMWR,10,,,10:03,34.72529,-98.67892,0,10 to 15,"WMWR-PC1, gusty",,
5/5/2014,Crystina,WMWR,11,,,10:16,34.72327,-98.6701,0,15 to 20,"WMWR-P9, gusty, briefly interrupted by line of traffic",,
5/5/2014,Crystina,WMWR,12,,,10:45,34.72072,-98.66229,0,15 to 20,"WMWR-10, interrupted by USFW employee telling me I can't park on the grass",,
5/5/2014,Crystina,WMWR,13,,,10:57,34.71828,-98.65209,0,15 to 20,"WMWR-11, getting hard to hear over wind, last point of day",,
5/6/2014,Crystina,WMWR,14,,,9:44,34.71561,-98.63075,10,5 to 10,WMWR-12,,SWHA
5/6/2014,Crystina,WMWR,15,,,9:59,34.70864,-98.62858,10,5 to 10,WMWR-13,,
5/6/2014,Crystina,WMWR,16,,,10:17,34.70144,-98.62808,10,5 to 10,"WMWR-14, gusty",,
5/6/2014,Crystina,WMWR,17,,,10:30,34.70948,-98.6196,10,5 to 10,"WMWR-15, gusty, lots of traffic",,
5/6/2014,Crystina,WMWR,18,,,10:45,34.71222,-98.61198,10,5 to 10,WMWR-16,,
5/6/2014,Crystina,WMWR,19,,,10:58,34.71766,-98.60402,10,5 to 10,WMWR-17,,
5/7/2014,Crystina,WMWR,20,,,10:09,34.73139,-98.59035,0,10 to 15,WMWR-18,,
5/7/2014,Crystina,WMWR,21,,,10:36,34.73543,-98.58324,0,10 to 15,WMWR-19,,
5/7/2014,Crystina,WMWR,22,,,10:48,34.73294,-98.57471,0,15 to 20,WMWR-20,,
5/7/2014,Crystina,WMWR,23,,,11:00,34.73294,-98.56629,0,15 to 20,"WMWR-21, interrupted by people pulling up and leaving car on",,
6/8/2014,Crystina,WMWR,0,,,10:21,34.6963,-98.77353,100,10 to 15,"WXRD, drizzling and gusty",,NOMO
6/8/2014,Crystina,WMWR,4,,,10:44,34.69608,-98.80876,100,10 to 15,"WXRD, drizzling and gusty",,"PABU, AMCRO, AMRO, TUVU"
6/8/2014,Crystina,WMWR,1,,,11:33,34.73971,-98.79802,80,10 to 15,"W49H, gusty",,"GRSP fledglings, CASP"
6/8/2014,Crystina,WMWR,5,,,11:57,34.73977,-98.83279,80,10 to 15,W49H,,
6/12/2014,Crystina,WMWR,1,,,6:56,34.74809,-98.75363,0,0 to 5,,,AMRO
6/12/2014,Crystina,WMWR,2,,,7:13,34.74478,-98.74531,0,0 to 5,,,"NOMO, AMRO"
6/12/2014,Crystina,WMWR,3,,,7:28,34.74312,-98.73738,0,0 to 5,,,MODO
6/12/2014,Crystina,WMWR,4,,,7:42,34.7407,-98.72861,0,0 to 5,,,WITU
6/12/2014,Crystina,WMWR,5,,,7:56,34.73652,-98.72145,0,0 to 5,,,
6/12/2014,Crystina,WMWR,6,,,8:10,34.73635,-98.71053,0,0 to 5,,,"YBCU, RBWO"
6/12/2014,Crystina,WMWR,7,,,8:25,34.73482,-98.70202,0,0 to 5,,,
6/12/2014,Crystina,WMWR,8,,,8:38,34.73247,-98.69395,0,0 to 5,,,EAME
6/12/2014,Crystina,WMWR,9,,,9:04,34.72931,-98.68587,0,0 to 5,,,
6/12/2014,Crystina,WMWR,10,,,9:18,34.72529,-98.67892,0,5 to 10,,,
6/12/2014,Crystina,WMWR,11,,,9:28,34.72327,-98.6701,0,5 to 10,gusty,,
6/12/2014,Crystina,WMWR,13,,,9:51,34.71828,-98.65209,0,5 to 10,,,
6/12/2014,Crystina,WMWR,14,,,10:16,34.71561,-98.63075,0,10 to 15,,,
6/12/2014,Crystina,WMWR,15,,,10:30,34.70864,-98.62858,0,10 to 15,"gusty, lots of traffic",,
6/12/2014,Crystina,WMWR,16,,,10:43,34.70144,-98.62808,0,10 to 15,"gusty, lots of traffic",,
6/12/2014,Crystina,WMWR,17,,,11:04,34.70948,-98.6196,0,15 to 20,gusty,,
6/13/2014,Crystina,WMWR,18,,,6:47,34.71222,-98.61198,0,0 to 5,,,
6/13/2014,Crystina,WMWR,19,,,6:59,34.71766,-98.60402,0,0 to 5,,,
6/13/2014,Crystina,WMWR,20,,,7:16,34.72621,-98.5958,0,0 to 5,,,
6/13/2014,Crystina,WMWR,21,,,7:31,34.73139,-98.59035,30,5 to 10,lots of traffic,,
6/13/2014,Crystina,WMWR,22,,,7:49,34.73543,-98.58324,70,5 to 10,,MODO,
6/13/2014,Crystina,WMWR,23,,,8:04,34.73294,-98.57471,70,5 to 10,lots of traffic,,
6/13/2014,Crystina,WMWR,24,,,8:16,34.73294,-98.56629,70,5 to 10,,,
6/13/2014,Crystina,WMWR,12,,,9:03,34.72072,-98.66229,100,5 to 10,,,"LASP, STFL, titmouse sp."
4/17/2014,JDR,Grady Co WMA,1,,,10:22,34.7978,-97.84636,100,0 to 5,,,RTHA
4/17/2014,JDR,Grady Co WMA,2,,,10:39,34.79771,-97.83633,100,0 to 5,,,
4/17/2014,JDR,Grady Co WMA,3,,,10:54,34.79776,-97.8252,100,0 to 5,,,
4/17/2014,JDR,Grady Co WMA,4,,,11:18,34.80295,-97.84902,90,5 to 10,,CCSP,
4/18/2014,JDR,Sod Farms,3,SOFA,SOFAPC3,7:32,35.146,-97.44749,10,0 to 5,Interrupted by Sherriff for 2min,,
4/18/2014,JDR,Sod Farms,6,SOFA,SOFAPC6,7:51,35.13152,-97.43319,10,0 to 5,,,"NOHA, AMCR, CCSP"
4/18/2014,JDR,Sod Farms,9,SOFA,SOFAPC9,8:15,35.13155,-97.4108,10,0 to 5,,,
4/18/2014,JDR,Sod Farms,12,SOFA,SOFAPC12,9:01,35.10412,-97.4241,10,0 to 5,,,
4/20/2014,JDR,Caddo Co Center Pivots,4,,,8:05,35.33178,-98.48265,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,8,,,8:35,35.35434,-98.46507,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,12,,,8:58,35.38858,-98.46501,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,16,,,9:21,35.41698,-98.4651,100,5 to 10,,,"EUST, YHBL"
4/20/2014,JDR,Caddo Co Center Pivots,20,,,9:47,35.42075,-98.43074,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,24,,,10:13,35.46935,-98.39458,100,5 to 10,,,
4/20/2014,JDR,Caddo Co Center Pivots,28,,,10:38,35.47881,-98.38714,100,5 to 10,,,
4/25/2014,JDR,Rita Blanca NG,10,,,12:09,36.53065,-102.71555,60,0 to 5,,,CHSP
4/25/2014,JDR,Rita Blanca NG,14,,,12:39,36.53061,-102.75233,60,0 to 5,"Between this and next point: VESP, GRSP, CASP, LOSH, SWHA, NOMO, WCSP",,LASP
4/25/2014,JDR,Rita Blanca NG,24,,,13:27,36.53055,-102.89725,70,5 to 10,All high-level clouds (cirrus),,"LASP, BHCO, WCSP, CCSP, CASP"
5/13/2014,JDR,WMWR,1,,,7:58,36.5592,-99.7028,80,0 to 5,Briefly interrupted b/w 8:00-8:02 by game warden check,"BAEA, HOSP",
5/14/2014,JDR,Black Kettle NG,7,,,9:19,35.60265,-99.64536,20,5 to 10,,,
5/14/2014,JDR,Black Kettle NG,3,,,9:46,35.59581,-99.65971,20,5 to 10,,WEKI,AMCR
5/14/2014,JDR,Black Kettle NG,5,,,10:21,35.60999,-99.57595,20,5 to 10,,,
5/14/2014,JDR,Black Kettle NG,10,,,10:55,35.61504,-99.71311,20,5 to 10,,,
5/18/2014,JDR,Selman Ranch,6,,,7:30,36.79774,-99.39929,80,5 to 10,Spitting rain throughout,,
5/18/2014,JDR,Selman Ranch,2,,,7:50,36.77757,-99.39109,100,5 to 10,,EAKI,
4/20/2014,Jessica,Caddo Co Center Pivots,3,,,8:00,35.32457,-98.48263,100,0 to 5,,,
4/20/2014,Jessica,Caddo Co Center Pivots,7,,,8:34,35.34854,-98.47028,100,0 to 5,,,
4/20/2014,Jessica,Caddo Co Center Pivots,11,,,8:59,35.38124,-98.46503,100,0 to 5,,,
4/20/2014,Jessica,Caddo Co Center Pivots,15,,,9:18,35.40968,-98.46517,100,0 to 5,,,
4/20/2014,Jessica,Caddo Co Center Pivots,19,,,9:45,35.42094,-98.44054,100,0 to 5,,,
4/20/2014,Jessica,Caddo Co Center Pivots,23,,,10:12,35.4614,-98.39457,100,0 to 5,,,
4/20/2014,Jessica,Caddo Co Center Pivots,27,,,10:37,35.47896,-98.3779,100,0 to 5,,,
5/8/2014,Jessica,WMWR,4,,,10:50,34.69614,-98.7999,100,10 to 15,WXRD-PC04,,
5/8/2014,Jessica,WMWR,4,,,11:53,34.82412,-98.82607,50,10 to 15,WWMT-PC04,,
5/8/2014,Jessica,WMWR,8,,,12:15,,,20,10 to 15,"WWMT-PC08, point not in BC",,
6/5/2014,Jessica,Tallgrass Prairie,3,,,13:50,36.87,-96.56,40,10 to 15,,,
6/5/2014,Jessica,Tallgrass Prairie,7,,,14:16,36.84,-96.56,50,10 to 15,check latitude,,
6/5/2014,Jessica,Tallgrass Prairie,11,,,14:41,36.81,-96.56,40,10 to 15,,,
6/7/2014,Jessica,Grimes switchgrass,2,,,10:19,34.8,-97.48,80,0 to 5,,,
6/7/2014,Jessica,Grimes switchgrass,3,,,10:32,34.8,-97.48,50,10 to 15,,,
6/7/2014,Jessica,Grimes switchgrass,1,,,10:47,34.8,-97.5,40,10 to 15,,,
6/7/2014,Jessica,Pennsylvania Ave near Chickasha,3,,,10:49,34.94,-97.65,40,10 to 15,Penn Road,,
6/7/2014,Jessica,Pennsylvania Ave near Chickasha,1,,,11:22,34.93,-97.55,30,0 to 5,Penn Road,,
6/7/2014,Jessica,Pennsylvania Ave near Chickasha,2,,,11:36,34.94,-97.55,40,10 to 15,Penn Road,,
6/7/2014,Jessica,Pennsylvania Ave near Chickasha,4,,,12:00,34.95,-97.55,50,10 to 15,Penn Road,,
6/7/2014,Jessica,Pennsylvania Ave near Chickasha,5,,,12:11,34.96,-97.55,70,10 to 15,Penn Road,,
6/7/2014,Jessica,Pennsylvania Ave near Chickasha,6,,,12:25,34.97,-97.55,100,10 to 15,Penn Road,,
6/19/2014,Jessica,Cimmaron Hills,1,,,8:17,36.94,-99.39,20,0 to 5,,,
6/19/2014,Jessica,Cimmaron Hills,2,,,8:33,36.94,-99.4,20,0 to 5,,,
6/19/2014,Jessica,Cimmaron Hills,3,,,8:49,36.95,-99.4,10,0 to 5,,,
6/19/2014,Jessica,Cimmaron Hills,4,,,9:05,36.96,-99.4,10,5 to 10,,,
6/19/2014,Jessica,Cimmaron Hills,5,,,9:21,36.96,-99.4,10,10 to 15,near hills,,
6/19/2014,Jessica,Cimmaron Hills,6,,,9:35,36.97,-99.4,10,5 to 10,,,
6/19/2014,Jessica,Cimmaron Hills,7,,,9:49,36.97,-99.4,10,10 to 15,,,
6/19/2014,Jessica,Cimmaron Hills,8,,,10:01,36.97,-99.39,10,10 to 15,,,
6/19/2014,Jessica,Cimmaron Hills,9,,,10:22,36.98,-99.39,10,5 to 10,,,
6/19/2014,Jessica,Cimmaron Hills,10,,,10:34,36.99,-99.39,20,5 to 10,,,
6/19/2014,Jessica,Cimmaron Hills,11,,,10:48,36.99,-99.38,10,5 to 10,,,
6/19/2014,Jessica,Cimmaron Hills,12,,,11:02,36.99,-99.37,10,5 to 10,,,
6/27/2014,Jessica,Black Mesa SP,5,,,14:00,36.83,-102.88,90,10 to 15,,,
6/27/2014,Jessica,Black Mesa SP,3,,,14:22,36.82,-102.88,90,15 to 20,,,
6/27/2014,Jessica,Black Mesa SP,1,,,14:39,36.8,-102.88,70,15 to 20,ADIOS HOLA'S!!!,,
6/27/2014,Jessica,Rita Blanca NG,1,,,7:25,36.52,-102.62,100,5 to 10,Lots of Corn!,,
6/27/2014,Jessica,Rita Blanca NG,2,,,7:40,36.52,-102.63,100,0 to 5,,,
6/27/2014,Jessica,Rita Blanca NG,3,,,7:53,36.52,-102.64,100,0 to 5,,,
6/27/2014,Jessica,Rita Blanca NG,4,,,8:06,36.52,-102.65,100,0 to 5,,,
6/27/2014,Jessica,Rita Blanca NG,5,,,8:27,36.52,-102.66,100,0 to 5,,,
6/27/2014,Jessica,Rita Blanca NG,6,,,8:53,36.52,-102.67,100,0 to 5,,,
6/27/2014,Jessica,Rita Blanca NG,7,,,9:06,36.52,-102.67,100,10 to 15,,,
6/27/2014,Jessica,Rita Blanca NG,8,,,9:20,36.52,-102.68,100,10 to 15,,,
6/27/2014,Jessica,Rita Blanca NG,9,,,9:33,36.52,-102.69,100,5 to 10,,,
6/27/2014,Jessica,Rita Blanca NG,10,,,9:45,36.52,-102.7,100,10 to 15,,,
6/27/2014,Jessica,Rita Blanca NG,11,,,9:57,36.53,-102.7,100,10 to 15,,,
6/27/2014,Jessica,Rita Blanca NG,13,,,10:19,36.53,-102.72,100,10 to 15,,,
6/27/2014,Jessica,Rita Blanca NG,15,,,10:39,36.53,-102.74,100,10 to 15,,BUOW,
6/27/2014,Jessica,Rita Blanca NG,17,,,11:08,36.53,-102.76,100,10 to 15,,,
6/27/2014,Jessica,Rita Blanca NG,18,,,11:23,36.53,-102.78,100,10 to 15,,,
4/15/2014,Josh,Chickasaw NRA,1,,,8:34,34.49183,-97.07085,0,0 to 5,,,
4/15/2014,Josh,Chickasaw NRA,2,,,8:57,34.49361,-97.07995,0,0 to 5,,,
4/15/2014,Josh,Chickasaw NRA,3,,,9:20,34.47883,-97.09074,0,0 to 5,,,
4/15/2014,Josh,Chickasaw NRA,4,,,9:41,34.47158,-97.09082,0,0 to 5,,,
4/15/2014,Josh,Chickasaw NRA,5,,,10:00,34.46284,-97.09119,0,0 to 5,,,
4/15/2014,Josh,Chickasaw NRA,6,,,10:24,34.47731,-97.09383,0,0 to 5,,KILL,"BEKI, GADW"
4/15/2014,Josh,Chickasaw NRA,7,,,10:46,34.47719,-97.08397,0,0 to 5,,,
4/18/2014,Josh,Sod Farms,1,SOFA,SOFAPC1,7:21,35.1524,-97.4591,0,0 to 5,,,
4/18/2014,Josh,Sod Farms,4,SOFA,SOFAPC4,7:45,35.14001,-97.44194,0,0 to 5,,,
4/18/2014,Josh,Sod Farms,7,SOFA,SOFAPC7,8:06,35.13148,-97.42424,0,0 to 5,,,
4/18/2014,Josh,Sod Farms,10,SOFA,SOFAPC10,8:53,35.11693,-97.4266,0,0 to 5,,,"PUMA, SAVS, LISP"
4/20/2014,Josh,Caddo Co Center Pivots,1,CADD,CADDPC01,7:59,35.30999,-98.48266,100,0 to 5,Light rain,GRSP,
4/20/2014,Josh,Caddo Co Center Pivots,5,CADD,CADDPC05,8:27,35.33833,-98.4826,100,5 to 10,,"BHCO, MODO",NOCA
4/20/2014,Josh,Caddo Co Center Pivots,9,CADD,CADDPC09,8:53,35.36672,-98.46503,100,5 to 10,,,
4/20/2014,Josh,Caddo Co Center Pivots,13,CADD,CADDPC13,9:15,35.39586,-98.46503,100,5 to 10,,,
4/20/2014,Josh,Caddo Co Center Pivots,17,CADD,CADDPC17,9:42,35.4207,-98.45784,100,5 to 10,,,
4/20/2014,Josh,Caddo Co Center Pivots,21,CADD,CADDPC21,10:08,35.44144,-98.39451,100,5 to 10,,,"HOLA, NOFL"
4/20/2014,Josh,Caddo Co Center Pivots,25,CADD,CADDPC25,10:36,35.47143,-98.38363,100,10 to 15,,,
4/25/2014,Josh,Rita Blanca NG,13,,,12:14,36.53067,-102.74323,60,0 to 5,,,
4/25/2014,Josh,Rita Blanca NG,17,,,12:43,36.53065,-102.77992,60,0 to 5,,,
4/25/2014,Josh,Rita Blanca NG,21,,,13:31,36.53054,-102.92439,60,0 to 5,,,
5/1/2014,Josh,Grazinglands,7,,,8:14,35.53791,-98.06107,0,0 to 5,,,
5/1/2014,Josh,Grazinglands,8,,,8:29,35.54912,-98.0611,0,0 to 5,,,
5/1/2014,Josh,Grazinglands,9,,,8:43,35.55128,-98.06745,0,0 to 5,,,
